,lam,dcor,mic,tic,corr
0,-1.0,0.8784500882029533,0.9999989694288015,13289.111434932467,0.12154989263001396
1,-0.8983050847457628,0.8780035227537155,0.9999981483305295,13308.823448331645,0.12199647292019737
2,-0.7966101694915254,0.8768819868564606,0.9999999932711497,13330.6332348065,0.12311800669244345
3,-0.6949152542372881,0.8741097301244736,0.9999999455836119,13336.86259430419,0.12589029171201876
4,-0.5932203389830508,0.8674094676971436,0.9999999932711469,13344.790706304717,0.13259054419213323
5,-0.4915254237288136,0.8517231345176697,0.9999999932711469,13345.756664190154,0.14827685956000505
6,-0.38983050847457623,0.8166761249303818,0.9999999932711469,13346.321439166228,0.1833238715863344
7,-0.2881355932203389,0.7439469397068024,0.9999999932711469,13346.378509328233,0.2560530316263122
8,-0.18644067796610164,0.6114251613616943,0.9999999932711469,13346.378393161933,0.38857486929701546
9,-0.0847457627118644,0.42181652784347534,0.9999999932711469,13346.380734225093,0.5781834198389088
10,0.016949152542372836,0.23717695474624634,0.9999999932711469,13346.380422146472,0.7628230409049894
11,0.1186440677966103,0.11847072839736938,0.9999999932711469,13346.380651724241,0.8815292707937314
12,0.22033898305084754,0.059400737285614014,0.9999999932711469,13346.383756785533,0.9405991928257842
13,0.3220338983050848,0.0315401554107666,0.9999999932711469,13346.38786821948,0.9684598609178636
14,0.42372881355932224,0.01755201816558838,0.9999999932711469,13346.40680580774,0.9824479194903051
15,0.5254237288135595,0.009849011898040771,0.9999999932711469,13346.388746145538,0.9901510611579366
16,0.6271186440677967,0.0052890777587890625,0.9999999932711469,13346.395656408391,0.994710985359607
17,0.728813559322034,0.0025177001953125,0.9999999932711469,13346.390151086702,0.9974822991408592
18,0.8305084745762712,0.0009060502052307129,0.9999999932711469,13346.387667129913,0.9990940949748148
19,0.9322033898305087,0.00013583898544311523,0.9999999932711469,13346.383285455446,0.9998643113973145
20,1.0338983050847457,3.1888484954833984e-05,0.9999999932711469,13346.385916560894,0.9999678749489657
21,1.1355932203389831,0.0004909634590148926,0.9999999932711469,13346.40757743581,0.9995090586619269
22,1.2372881355932206,0.0014452934265136719,0.9999999932711469,13346.403188108477,0.9985546497613046
23,1.3389830508474576,0.0028498172760009766,0.9999999932711469,13346.386361448094,0.9971501358254091
24,1.440677966101695,0.004671812057495117,0.9999999932711469,13346.409486317923,0.9953280819067689
25,1.5423728813559325,0.006887257099151611,0.9999999932711469,13346.384321578515,0.9931127125498292
26,1.6440677966101696,0.009477376937866211,0.9999999932711469,13346.383311428435,0.9905225420565964
27,1.745762711864407,0.012427806854248047,0.9999999932711469,13346.406592857455,0.9875719843120707
28,1.8474576271186445,0.01572781801223755,0.9999999932711469,13346.382551053017,0.9842723638594773
29,1.9491525423728815,0.019367516040802002,0.9999999932711469,13346.386307448322,0.9806325887389669
30,2.050847457627119,0.023340165615081787,0.9999999932711469,13346.385039763898,0.9766596275330339
31,2.152542372881356,0.027640998363494873,0.9999999932711469,13346.383034401586,0.9723588622605134
32,2.2542372881355934,0.03226548433303833,0.9999999932711469,13346.380648892673,0.9677343366433855
33,2.355932203389831,0.03721112012863159,0.9999999932711469,13346.38012905572,0.962788992392271
34,2.457627118644068,0.042474985122680664,0.9999999932711469,13346.383300717329,0.957524891563002
35,2.5593220338983054,0.048056840896606445,0.9999999932711469,13346.383061553524,0.9519433013660561
36,2.6610169491525424,0.053955078125,0.9999999932711469,13346.381887148105,0.9460449527371537
37,2.76271186440678,0.06016993522644043,0.9999999932711469,13346.384176392514,0.9398301021959281
38,2.8644067796610173,0.06670129299163818,0.9999999932711469,13346.380471284663,0.9332987213266289
39,2.9661016949152543,0.07354938983917236,0.9999999932711469,13346.384826531685,0.9264506743002471
40,3.0677966101694913,0.08071446418762207,0.9999999932711469,13346.378743989959,0.9192857825053862
41,3.1694915254237293,0.08819574117660522,0.9999999932711469,13346.383276595227,0.9118040797029447
42,3.2711864406779663,0.09599411487579346,0.9999999932711469,13346.381676803137,0.9040058585661352
43,3.3728813559322033,0.10410803556442261,0.9999999932711469,13346.380125760958,0.8958918510304119
44,3.474576271186441,0.1125364899635315,0.9999999932711469,13346.383834901935,0.8874634609662164
45,3.576271186440678,0.12127703428268433,0.9999999932711469,13346.378657215128,0.8787227464036222
46,3.6779661016949152,0.13032716512680054,0.9999999932711469,13346.378794678512,0.8696727076186471
47,3.779661016949153,0.13968253135681152,0.9999999932711469,13346.378908213706,0.8603173399755998
48,3.88135593220339,0.14933836460113525,0.9999999932711469,13346.385906608295,0.850661705273152
49,3.983050847457627,0.15928775072097778,0.9999999932711469,13346.378976497057,0.8407121986144209
50,4.084745762711865,0.1695237159729004,0.9999999932711469,13346.379025226523,0.8304764313079595
51,4.186440677966102,0.18003642559051514,0.9999999932711469,13346.377879231344,0.819963524123763
52,4.288135593220339,0.19081610441207886,0.9999999932711469,13346.378755230604,0.809183870580828
53,4.389830508474577,0.20185041427612305,0.9999999932711469,13346.377874113183,0.7981494671654232
54,4.491525423728814,0.21312624216079712,0.9999999932711469,13346.378558808838,0.7868737254064014
55,4.593220338983051,0.2246285080909729,0.9999999932711469,13346.377984995861,0.7753715627075422
56,4.694915254237289,0.23634088039398193,0.9999999932711469,13346.378088777417,0.7636591117172362
57,4.796610169491526,0.24824601411819458,0.9999999932711469,13346.376045747573,0.7517539841087008
58,4.898305084745763,0.26032501459121704,0.9999999932711469,13346.375349641101,0.7396750028905015
59,5.0,0.27255815267562866,0.9999999932711469,13346.369527116707,0.7274419363173378
