Var1	Var2	None
slant_down_x	away_y	7.124573e-01
slant_down_x	bullseye_y	3.396363e-01
slant_down_x	circle_y	5.616274e-01
slant_down_x	dino_y	9.399994e-01
slant_down_x	dots_y	9.053131e-01
slant_down_x	h_lines_y	5.811385e-01
slant_down_x	high_lines_y	7.604390e-01
slant_down_x	slant_down_y	6.036127e-03
slant_down_x	slant_up_y	7.061626e-02
slant_down_x	star_y	8.779773e-01
slant_down_x	v_lines_y	9.542489e-01
slant_down_x	wide_lines_y	6.347952e-01
slant_down_x	x_shape_y	1.698363e-01
slant_up_x	star_x	1.543415e-01
slant_up_x	v_lines_x	6.522241e-01
slant_up_x	wide_lines_x	3.264018e-01
slant_up_x	x_shape_x	7.808613e-01
slant_up_x	away_y	5.706616e-01
slant_up_x	bullseye_y	7.058645e-01
slant_up_x	circle_y	4.244276e-01
slant_up_x	dino_y	3.559694e-02
slant_up_x	dots_y	5.182952e-01
slant_up_x	h_lines_y	3.815726e-01
slant_up_x	high_lines_y	2.184127e-01
slant_up_x	slant_down_y	7.371414e-02
slant_up_x	slant_up_y	2.249494e-04
slant_up_x	star_y	1.218175e-01
slant_up_x	v_lines_y	1.971771e-01
slant_up_x	wide_lines_y	2.034567e-01
slant_up_x	x_shape_y	7.373371e-01
star_x	v_lines_x	7.478123e-01
star_x	wide_lines_x	2.528795e-01
star_x	x_shape_x	2.345127e-01
star_x	away_y	3.414693e-01
star_x	bullseye_y	6.652334e-01
star_x	circle_y	6.229657e-01
star_x	dino_y	9.959414e-01
star_x	dots_y	9.820533e-01
star_x	h_lines_y	9.036813e-01
star_x	high_lines_y	5.518989e-02
star_x	slant_down_y	6.936407e-01
star_x	slant_up_y	9.484414e-01
star_x	star_y	4.999975e-06
star_x	v_lines_y	3.761804e-01
star_x	wide_lines_y	3.770546e-02
star_x	x_shape_y	6.968076e-01
v_lines_x	wide_lines_x	2.614824e-01
v_lines_x	x_shape_x	7.108412e-02
v_lines_x	away_y	7.177832e-01
v_lines_x	bullseye_y	4.888366e-01
