,n_image,lambda,dcor,dcov,mic,tic,pearson
306,10,4.0,0.933853958332454,0.0661347542676062,0.9999999993281916,13346.038866807074,0.8138750426142802
307,10,4.333333333333332,0.9202225507700456,0.0624800984778572,0.9999999993281916,13346.035942560102,0.7867586674905545
308,10,4.666666666666666,0.9054062858695612,0.0589873247514593,0.9999999993281916,13346.039232313678,0.7601759258189733
309,10,5.0,0.8891689069500535,0.0556743028548752,0.9999999993281916,13346.036780462731,0.7343878102403963
310,11,-5.0,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
311,11,-4.666666666666667,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
312,11,-4.333333333333333,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
313,11,-4.0,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
314,11,-3.666666666666667,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
315,11,-3.333333333333333,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
316,11,-3.0,0.0264385998686268,0.0005515442575694,0.0203931352360835,186.50494281530277,0.0987035471226267
317,11,-2.666666666666667,0.0265234035798022,0.0005533058346818,0.0204160138544411,184.43194029612712,0.0987035471377313
318,11,-2.333333333333333,0.0253738793668041,0.0005293183474058,0.0207586229186193,187.4853168060895,0.0987035474362981
319,11,-2.0,0.0257246535466645,0.0005366357484648,0.0308285655183122,280.3800757256648,0.0987035569638783
320,11,-1.666666666666667,0.0713637485627242,0.0014886983858834,0.889478894340658,7912.472598706236,0.0987060352615357
321,11,-1.3333333333333337,0.0933012119402274,0.0019466940706234,0.997787704535458,12078.899118372789,0.0987437729448322
322,11,-1.0,0.1633736695876532,0.0034082668929757,0.9999985502919504,13292.349116027304,0.0994417601312844
323,11,-0.666666666666667,0.5311575663704177,0.011076032633949,0.99999997581494,13343.913192426337,0.1112757684832219
324,11,-0.3333333333333339,1.435184237199576,0.0390050849596317,0.9999999972448516,13349.624329793753,0.2667777925571305
325,11,0.0,0.9975056912074228,0.0645837547545295,0.9999999972448516,13349.80915874754,0.8303487744072144
326,11,0.333333333333333,1.0013071432979963,0.1005172000311964,0.9999999972448516,13349.817584691842,0.970948094013055
327,11,0.6666666666666661,0.9943349400736068,0.1116256019342378,0.9999999972448516,13349.833689857822,0.9940504039904878
328,11,1.0,1.0006760470711498,0.1117143280823191,0.9999999972448516,13349.84784250267,0.9999999999999934
329,11,1.333333333333333,1.0000735417056483,0.1060034733233591,0.9999999972448516,13349.823671437847,0.9945648085918865
330,11,1.666666666666666,0.9942931329625112,0.0978442485848119,0.9999999972448516,13349.8534084758,0.9788584381477436
331,11,2.0,0.9868563419804466,0.0891417935643135,0.9999999972448516,13349.822076341012,0.9538144756874004
332,11,2.333333333333333,0.9778342033534388,0.0805755629479312,0.9999999972448516,13349.832372107216,0.9206439708542048
333,11,2.666666666666666,0.9686393156507102,0.0726057762428007,0.9999999972448516,13349.803582661878,0.8809268786991988
334,11,3.0,0.9561207906428943,0.0651378634169517,0.9999999972448516,13349.807083406136,0.8365444080910734
335,11,3.333333333333332,0.9411089604918986,0.0582862284817858,0.9999999972448516,13349.816038492889,0.7894931707945085
