,n_image,lambda_full,dcor_full,dcov_full,mic_full,tic_full,pearson_full,lambda_hist,dcor_hist,dcov_hist,mic_hist,tic_hist,pearson_hist,lambda_grid,dcor_grid,dcov_grid,mic_grid,tic_grid,pearson_grid
0,1,0.880472453593592,0.7761556164681638,885.0870157859749,0.7592322404318369,27.73541737234872,0.6345235061761644,0.2514728604004783,0.45857682903983105,628.1147171329335,0.3541659272338299,10.924210271968988,-0.40723517285789324,1.5339344793221306,0.4543115227473337,529.5350053101432,0.5518814986086849,17.829406268600444,0.3675675337177331
1,2,0.6263939521821581,0.18418138390664285,289.39227569417704,0.35393655720816397,12.079378071050188,-0.04482173484380086,-0.02592737997085924,0.131056329520794,223.71344672146844,0.3943482173156974,12.325034323704584,-0.052563314686687526,-1.6162152401132412,0.0343067739429946,75.01761525236697,0.03460162379961953,0.7056682044922881,-0.020199363420661372
2,3,0.579545349603547,0.27933694938030734,338.17656824623964,0.24401719574504818,8.591048590577447,0.14767247700457842,0.2560541126047887,0.45932270189182534,624.5300866981603,0.48613857485664425,13.968514492086882,-0.35904871751211204,2.160516783170679,0.21627830548345636,276.96942888490156,0.438632239996268,12.179606931767351,-0.08065582197140453
3,4,0.5832538977790949,0.32623768637968664,415.00772686923483,0.4197918600147734,12.111449336914365,0.16818060371933768,0.20089053590901268,0.5182328562785316,772.5357475293833,0.4377695135280796,14.782291737341005,-0.45896614030603117,0.46526871235973116,0.21713160754464786,289.05139517456973,0.35572388893854,11.121869962438105,-0.06561045450750619
4,5,0.42807348399621487,0.34617674861462994,371.80705948174005,0.3147033099778436,10.377037825951623,-0.2689085722228725,0.05573447353662126,0.5878935379352824,770.0180982945811,0.6173766190944482,22.020316822045103,-0.4700457731763261,0.5704376668725388,0.25653136083021877,263.0015925814129,0.3465456114270822,10.722585129644347,0.1412750343989073
5,6,0.4688288489283735,0.3231979016318739,315.08937023297227,0.5192384588646477,17.990396699034683,-0.07979288536304704,0.39281507799847704,0.3227646910647061,331.41703062157507,0.4427322767606654,15.609914576420856,-0.12754383879138084,1.504092492257098,0.2904155811124434,235.56332601088408,0.2143661256444267,5.849769016079227,0.09122629243909065
6,7,1.1456138758324859,0.7531253207188777,846.9358813516758,0.7587263131410648,26.408318545811426,0.5607429795923675,0.2152289973170299,0.48553400707559197,641.54569643131,0.6405217802978964,16.233794471070404,-0.31610056842029016,2.2698516620187865,0.23285948920425698,311.4423596015728,0.46480431286897184,15.2336705779627,-0.10160047900834468
7,8,0.46325655923145725,0.2864323115696317,251.09090596355668,0.27475107342833294,7.27117526179048,-0.06885638324320109,0.41669131413150184,0.36489600360752783,329.02934752638305,0.35658508067705413,9.568844155696198,-0.145210276579774,1.2474626909007396,0.5667736718442437,415.2853262049045,0.32371018162426946,10.357316947594699,0.5957652859879987
8,9,1.259441679010079,0.579673977087004,661.9656171191301,0.5325854861355132,18.026221942742346,0.5264980450727419,0.23292964511130848,0.31622919906408326,435.4411930923383,0.4310936352204398,11.800642630244797,-0.25214548952589677,1.485543708027684,0.37698197931583266,420.46035871453677,0.3958671000408064,12.36657696978338,0.23590403197704496
9,10,0.8599042218398391,0.7609413688130793,859.6801321837739,0.6379304533290321,22.502676739329576,0.659332159522239,0.2517761731001247,0.37026761036746614,503.6761729597263,0.3122200035770879,9.177065343004088,-0.297205030893962,21.738899041813543,0.06216868127990186,112.80190158789554,0.27476232654735655,9.551840987040464,-0.02739408107758315
10,11,1.0239823580018967,0.8196308601877232,935.6796013480425,0.8827562850461712,31.778211965340706,0.7014078827529304,0.11592143819895474,0.49448223601850555,646.7063586083455,0.6898631632786443,23.710869164917565,-0.22842669535484075,0.8650773195194381,0.6142702214554557,704.419899008787,0.714422007696589,24.194029616564094,0.3579212903591441
11,12,1.581036525788231,0.19287343690643427,209.73357130269815,0.25988255730191084,5.940459007890073,-0.0054880074532485685,0.24166507792649233,0.2421604299086074,333.1471483246048,0.5000646015697595,14.867193801746732,-0.06774213030901874,4.491093171001908,0.40570636095433005,488.54707307175516,0.3904042522646225,11.822476063658822,-0.24809218043639392
12,13,0.4101592468981841,0.38155201146246237,409.14704625389714,0.3739735001949468,12.35983184248384,-0.28844045653818134,0.3245628150017761,0.49183777416365754,551.4854434162976,0.5224479166579904,16.30948126467507,-0.3858514009209476,0.6611472645976832,0.39565736063106466,380.0696481348969,0.4416740039605405,11.908020439375736,0.3324795454500171
13,14,0.5805477210534767,0.34506839809378853,319.6216209091076,0.34849987457947057,10.054043749237554,0.26763195559963177,0.43452799555743454,0.21328740773450888,217.97726348711976,0.2621471313461227,7.734562638032571,-0.09335041218966761,-0.02742034029736612,0.5927318637844978,789.3298198433524,0.5908545245829087,20.40360498498493,-0.4929868520199623
14,15,0.29423867639123763,0.442025916029378,490.0302944478081,0.34016072800838276,11.953858275214639,-0.28299830867492526,0.20854843417249141,0.38146534167085544,441.0887943899625,0.30478922741727643,9.673891014467994,-0.23042761399042533,131.26892936202626,0.06809984079244882,113.88848880183235,0.19520079781560484,5.705907565362856,-0.03316441882125616
15,16,0.5403409321823843,0.23391487239930744,279.54757657531945,0.3587991044564909,10.697389017963722,0.08239893412926103,0.28928271491128726,0.5204733386439001,679.7986079346928,0.5798695433764369,16.91769646844163,-0.40463215956028176,0.8493266569064605,0.7149518295475719,812.701149728465,0.6607333290448222,23.275672651826262,0.6765866423183697
16,17,0.5030973283882897,0.2633547546631842,262.7806917764763,0.34065897757607616,10.409518953747593,-0.0039057088808206655,0.29800906166849017,0.3856566802104367,430.7720669609649,0.2366598685808228,7.757545962233442,-0.3190825695576701,0.921574031138539,0.7374022944911901,691.9639057456532,0.7483144438138326,25.93517467755237,0.656124241134548
17,18,0.25303785808663304,0.5445699532898638,737.405869142822,0.715317699411554,22.808183737096726,-0.42146170342896866,0.08104092016220839,0.4863766454416285,710.4923089754734,0.6990716935814276,23.72204571744447,-0.36066218106612846,0.3620690745532394,0.45686032345912997,585.9494609769671,0.582966916517361,16.916187022461017,-0.36567534182492584
18,19,0.4831698438737146,0.2041960213657696,223.3667677483743,0.29900524538508944,10.022357235984732,-0.09793742569764341,0.31956373228397894,0.43127590762863866,512.4908996435531,0.42931459931201615,13.382388559569058,-0.3340952905690907,1.6562066920370913,0.21988504763599714,229.56073950705354,0.22848832045227957,6.392032807448017,0.1303718054107751
19,20,0.984876370179488,0.9792765036802406,1050.5484606514938,0.7086565766670377,25.38324861630765,0.9975495279286811,0.05084710547640066,0.7293788032074098,972.6907057776418,0.2660436864983116,7.836785620891878,0.8844337526518642,1858.4659887149458,0.27609777861839996,461.7209647730654,0.06123493682592818,1.6419468303464975,0.11745380911991962
20,21,0.8807149835874797,0.6998969179928477,770.2717256266635,0.7356932103874597,24.923183745728483,0.5994513443162957,0.19780525694538606,0.4602161047890791,602.2645188378971,0.44853436387605866,15.718534255841528,-0.2708974226361702,0.8592809351245704,0.6508787517152766,720.6984335368132,0.7013061742696973,23.47684633146747,0.5255272678370799
21,22,0.5793484170537427,0.2872880246993596,351.93920184892596,0.37044504188983535,10.940921270840498,0.21967504212796957,0.24933324197351742,0.458874138276819,634.6258752638965,0.36568948149490543,11.785092192102713,-0.3997604594013966,0.45831401977016684,0.1546230433943537,197.3897582813759,0.32344156565542237,9.969077088434483,-0.059567678644697024
22,23,0.42307965476452697,0.41949248855126464,494.66014151599404,0.5674502430557554,15.539415566824188,-0.2791200784958163,0.31209094994667325,0.4446190231397289,552.9534061491548,0.5926501234679161,16.153253969296234,-0.2814632827079379,4.761598990977416,0.22276317984443006,290.5631414117978,0.38692153334590595,11.234897047275288,-0.10811328575487791
