img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,mic,tic,corr
img_2_noise_low,img_2_noise_low,fast,1.0,1409.1262317692135,,,,1.0000000000000002,41.31647271907814,1.0
img_2_noise_low,img_2_noise_mid,full,0.34388209342176124,0.054027314657408475,,,,0.07389408727734564,600.0027700359483,0.38488304426788655
img_2_noise_low,img_2_noise_mid,fast,0.946514165427785,1365.8767851779621,,,,0.9676615524396944,36.83918437551366,0.9478235016168368
img_2_noise_low,img_2_noise_high,full,0.2198560471056191,0.043025913362642304,,,,0.031371485761174815,244.8739873658347,0.24728936334455065
img_2_noise_low,img_2_noise_high,fast,0.8245121099921366,1169.5516540585736,,,,0.8110410637207217,30.387384351676634,0.8180262753998717
img_2_noise_mid,img_2_noise_mid,full,1.0000000000000093,0.21355100220964135,,,,1.0000000000000038,13344.90495974687,1.0
img_2_noise_mid,img_2_noise_mid,fast,1.0,1477.8110577581633,,,,1.0000000000000002,41.35101122265313,0.9999999999999998
img_2_noise_mid,img_2_noise_high,full,0.12141356150439829,0.03229659039024796,,,,0.011182477518441031,82.55383143363198,0.13605925912142142
img_2_noise_mid,img_2_noise_high,fast,0.9455411382589077,1373.527324636613,,,,0.8554503493259508,32.785087208597126,0.9483684959015712
img_2_noise_high,img_2_noise_high,full,0.9999999999999818,0.3313426486617056,,,,1.0000000000000038,13344.90495974687,0.9999999999999998
img_2_noise_high,img_2_noise_high,fast,1.0,1427.8902821261015,,,,1.0000000000000002,41.32988582463672,1.0
img_3_bw,img_3_bw,full,1.0035096218944306,0.09783668583875517,,,,0.9999999999999994,13345.777306203729,1.0
img_3_bw,img_3_bw,fast,1.0,1205.149701659259,,,,1.0000000000000002,41.31581828093452,1.0
img_3_bw,img_3_noise_low,full,0.7946977933072183,0.0838144223907467,,,,0.45928012082958525,3948.0142268194095,0.830281059202683
img_3_bw,img_3_noise_low,fast,0.7360566088971827,979.4504161768809,,,,0.7064701867164938,24.953567281796133,0.6612231593528948
img_3_bw,img_3_noise_mid,full,0.4036214380168244,0.05797544890396482,,,,0.10544066061506327,816.1025033112477,0.44392881372060394
img_3_bw,img_3_noise_mid,fast,0.5574715623783587,752.532462990738,,,,0.580474780366317,20.149816045252418,0.4419500074451542
img_3_bw,img_3_noise_high,full,0.25484218837782147,0.04570143207651109,,,,0.042406306951249285,320.5058289581642,0.2826509791112707
img_3_bw,img_3_noise_high,fast,0.4848259704264954,644.4446972915081,,,,0.4989359487364102,16.660623188745532,0.3544447259098047
img_3_noise_low,img_3_noise_low,full,0.9999999999999178,0.1140915044202591,,,,1.0000000000000038,13344.90495974687,1.0
img_3_noise_low,img_3_noise_low,fast,1.0,1469.2695551570168,,,,1.0000000000000002,41.332763368039146,1.0
img_3_noise_low,img_3_noise_mid,full,0.33559149651427744,0.05214556770845211,,,,0.07341973309485833,561.7758318308668,0.36975031278753057
img_3_noise_low,img_3_noise_mid,fast,0.8763421937528858,1306.1903914951054,,,,0.8341456843942353,32.27807650143119,0.8661774633869312
img_3_noise_low,img_3_noise_high,full,0.21122141043680925,0.04097632249099851,,,,0.030076489158981097,224.60286491427243,0.23398729537266832
img_3_noise_low,img_3_noise_high,fast,0.7889540475434351,1157.9284610026677,,,,0.7547255921408952,28.37393450520732,0.7673281527807811
img_3_noise_mid,img_3_noise_mid,full,0.9999999999999246,0.2116214070091425,,,,1.0000000000000038,13344.90495974687,1.0
img_3_noise_mid,img_3_noise_mid,fast,1.0,1512.0426621966394,,,,1.0000000000000002,41.364117626872684,1.0
img_3_noise_mid,img_3_noise_high,full,0.1112180002848619,0.029384835803826635,,,,0.009799397391157707,70.69635438519789,0.12479092918373097
img_3_noise_mid,img_3_noise_high,fast,0.9756941601699219,1452.6968954016622,,,,0.9019430369309818,34.963681710132796,0.9776521827550813
img_3_noise_high,img_3_noise_high,full,1.0000000000000127,0.32986540802056724,,,,1.0000000000000038,13344.90495974687,1.0
img_3_noise_high,img_3_noise_high,fast,1.0,1466.083009172276,,,,1.0000000000000002,41.35089360861839,1.0
img_4_bw,img_4_bw,full,0.9983568137639423,0.11472943678966924,,,,0.9999999999999976,13345.804964770929,1.0
img_4_bw,img_4_bw,fast,1.0,1016.8710331594734,,,,1.0000000000000002,41.31934775047037,0.9999999999999998
img_4_bw,img_4_noise_low,full,0.8420805872495092,0.1032859369733146,,,,0.4791382482578162,4648.757761592376,0.8846526174664653
img_4_bw,img_4_noise_low,fast,0.5717386460224321,674.8635652359106,,,,0.4128682915103582,14.546563665048721,0.5734459989751712
img_4_bw,img_4_noise_mid,full,0.4804952669770964,0.07697033587536117,,,,0.14360968029670435,1201.162206854899,0.5347901327515037
img_4_bw,img_4_noise_mid,fast,0.3100507945515066,381.70172217790594,,,,0.3317084177045576,10.738550257596351,0.2118008100251371
img_4_bw,img_4_noise_high,full,0.3142864724250073,0.0619390819758783,,,,0.061243726028847374,496.46955691449,0.35382138428985577
img_4_bw,img_4_noise_high,fast,0.34028789686743566,423.4563842179909,,,,0.3801417278085845,12.369903638818176,0.2517196058275798
img_4_noise_low,img_4_noise_low,full,1.000000000000035,0.13091397233240745,,,,1.0000000000000038,13344.90495974687,1.0
img_4_noise_low,img_4_noise_low,fast,1.0,1370.1590704657788,,,,1.0000000000000002,41.3222706568173,1.0
img_4_noise_low,img_4_noise_mid,full,0.421587702666717,0.07208097704697385,,,,0.11346158498942402,938.6026787894825,0.4735432249321215
img_4_noise_low,img_4_noise_mid,fast,0.8165966892662878,1166.947835020792,,,,0.899327503623011,33.4196916971912,0.806267274788414
img_4_noise_low,img_4_noise_high,full,0.27691420867788696,0.05824823616432992,,,,0.04918173580510195,397.522877845556,0.31323135259241697
img_4_noise_low,img_4_noise_high,fast,0.8452663420382165,1220.9793394628555,,,,0.9652016987500649,34.06664096079785,0.8354465346980703
img_4_noise_mid,img_4_noise_mid,full,0.9999999999998864,0.22329523723401776,,,,1.0000000000000038,13344.90495974687,1.0
img_4_noise_mid,img_4_noise_mid,fast,1.0,1490.4474402344479,,,,1.0000000000000002,41.33765178552453,1.0
img_4_noise_mid,img_4_noise_high,full,0.16639062041354555,0.045710198701279126,,,,0.020208957932005115,155.60666246715078,0.18837967862926475
img_4_noise_mid,img_4_noise_high,fast,0.9967156629261045,1501.6159060317498,,,,0.9331781149026102,36.71037119241933,0.9973849174821443
img_4_noise_high,img_4_noise_high,full,0.9999999999999728,0.3379785016345071,,,,1.0000000000000038,13344.90495974687,1.0
img_4_noise_high,img_4_noise_high,fast,1.0,1522.8547711427018,,,,1.0000000000000002,41.35996373840641,1.0
img_5_bw,img_5_bw,full,0.9994462949281417,0.1673165629824051,,,,0.9999999999823387,13345.981411340945,0.9999999999999996
img_5_bw,img_5_bw,fast,1.0,791.2264415210217,,,,0.9999861288309188,41.326544412183836,1.0
img_5_bw,img_5_noise_low,full,0.9109356955195778,0.15519767569207116,,,,0.6606560777046087,5964.119189321949,0.9207401917274178
img_5_bw,img_5_noise_low,fast,0.7182680925183156,658.4724922278468,,,,0.5611082351709479,19.660937093124616,0.5710684914572615
img_5_bw,img_5_noise_mid,full,0.5913546564049128,0.11949012619103432,,,,0.24509748735052964,1833.0152641296122,0.620027648986105
img_5_bw,img_5_noise_mid,fast,0.5687017001364872,604.8591980318175,,,,0.5494614251646006,17.93655324496748,0.3696673743779929
