img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_0_bw,img_0_bw,full,0.9990037415738382,0.1098399297242806,0.9999999932711467,13346.41831174982,0.9999999999999996,0
img_0_bw,img_0_bw,hist,1.0,1118.0692476619497,1.0000000000000002,41.33546405684484,1.0,0
img_0_bw,img_0_noise_low,full,0.8218022202145648,0.0952730649063246,0.5179506502406788,4332.547017340955,0.8439597367869724,0
img_0_bw,img_0_noise_low,hist,0.8163679071569886,1037.2143046359697,0.8204402511423331,28.457144951679155,0.7361936034368857,0
img_0_bw,img_0_noise_mid,full,0.4292429850003177,0.0661073356465778,0.1240304883125602,917.8536543903954,0.4630450966356259,0
img_0_bw,img_0_noise_mid,hist,0.7643132136539392,974.257356664029,0.7236215127630469,24.999536333106708,0.6830370943961968,0
img_0_bw,img_0_noise_high,full,0.2707757606376897,0.0517403936314308,0.0500633010143898,361.2987102901008,0.2981935043424364,0
img_0_bw,img_0_noise_high,hist,0.7701608593032885,994.8104447241634,0.8027799367324459,28.559666106566745,0.6752813601723264,0
img_0_noise_low,img_0_noise_low,full,1.0000000000002331,0.1222397691571714,1.0000000000000038,13344.90495974687,0.9999999999999998,0
img_0_noise_low,img_0_noise_low,hist,1.0,1443.7647889881955,1.0000000000000002,41.33030079569897,0.9999999999999998,0
img_0_noise_low,img_0_noise_mid,full,0.3647453792724292,0.0592305739712386,0.0898408316056699,649.8370513827329,0.3904840992009656,0
img_0_noise_low,img_0_noise_mid,hist,0.9800072914729788,1419.5330380106077,0.8976741795845459,35.2075116206174,0.9802883968725338,0
img_0_noise_low,img_0_noise_high,full,0.2320923308132268,0.0467617147886399,0.0371064424163251,263.2545467085688,0.2525523874269539,0
img_0_noise_low,img_0_noise_high,hist,0.9877087437324856,1449.7785273271568,0.9834950677145502,39.57208638158995,0.9826205928564332,0
img_0_noise_mid,img_0_noise_mid,full,1.0000000000002054,0.2157246453353246,1.0000000000000038,13344.90495974687,0.9999999999999998,0
img_0_noise_mid,img_0_noise_mid,hist,1.0,1453.2353367280857,1.0000000000000002,41.34396622613948,1.0,0
img_0_noise_mid,img_0_noise_high,full,0.1261078650930042,0.0337532373600099,0.0117573376819753,84.72153438400179,0.1391601155770954,0
img_0_noise_mid,img_0_noise_high,hist,0.980090656183389,1443.307157685947,0.9131679843335894,35.22336796209789,0.9823490940495592,0
img_0_noise_high,img_0_noise_high,full,1.0000000000000846,0.3320830860616797,1.0000000000000038,13344.90495974687,1.0,0
img_0_noise_high,img_0_noise_high,hist,1.0,1492.275756759185,1.0000000000000002,41.3371115867404,1.0,0
img_1_bw,img_1_bw,full,1.0066530952948782,0.0320640836381648,0.9999999995231512,13350.63235050213,0.9999999999999996,1
img_1_bw,img_1_bw,hist,1.0,1565.66395046679,1.0000000000000002,41.33703440906204,1.0,1
img_1_bw,img_1_noise_low,full,0.482108460750788,0.0235216551619674,0.1266729083143352,1258.08818168343,0.6268700870865889,1
img_1_bw,img_1_noise_low,hist,0.462723926197128,764.7521536749813,0.4590321851741945,15.347393588642738,0.2629404621675488,1
img_1_bw,img_1_noise_mid,full,0.2083838277891481,0.0164650888266692,0.0284502006384412,237.7962027456072,0.2587438891193558,1
img_1_bw,img_1_noise_mid,hist,0.2445297565222161,375.6863181134606,0.4099932377516912,12.858787239039955,0.0395802533542112,1
img_1_bw,img_1_noise_high,full,0.1371254894971901,0.0138565485616449,0.0130352732448264,96.75438296665352,0.1590525306589533,1
img_1_bw,img_1_noise_high,hist,0.2554392650996107,386.5785866598695,0.4205308579585147,13.342989655540654,0.0559802210491579,1
img_1_noise_low,img_1_noise_low,full,0.9999999999999372,0.0747321112503059,1.0000000000000038,13344.90495974687,1.0,1
img_1_noise_low,img_1_noise_low,hist,1.0,1744.612391608268,1.0000000000000002,41.3344951626068,1.0,1
img_1_noise_low,img_1_noise_mid,full,0.1152609126636041,0.0139497442966381,0.0187590585378299,141.78723416050593,0.1624303368827016,1
img_1_noise_low,img_1_noise_mid,hist,0.7570176475014742,1227.721518501746,0.8940631275435156,32.96756981422682,0.7385745395177593,1
img_1_noise_low,img_1_noise_high,full,0.0727589548539694,0.0112617907941461,0.0083505427121612,60.941131838417135,0.1009914817724473,1
img_1_noise_low,img_1_noise_high,hist,0.7569666219810501,1209.280551334438,0.901249140113912,32.962658252720104,0.7394038985121958,1
img_1_noise_mid,img_1_noise_mid,full,0.9999999999999828,0.1960022848124685,1.0000000000000038,13344.90495974687,1.0,1
img_1_noise_mid,img_1_noise_mid,hist,1.0,1507.609186801075,1.0000000000000002,41.335823325381206,1.0,1
img_1_noise_mid,img_1_noise_high,full,0.0343110986017113,0.0086006756225093,0.0034341276347552,19.81656778216213,0.0420707572114069,1
