,n_image,lambda,dcor,dcov,mic,tic,pearson
214,7,4.333333333333332,0.29228322150569025,414.70324517925064,0.5954557464656127,17.535829579052443,-0.17045425138956638
215,7,4.666666666666666,0.2785932050341571,397.7698690025752,0.6087977587749549,17.00559677441494,-0.15076593162415008
216,7,5.0,0.26273730623838576,375.67538240324365,0.6530465905606887,18.873502140760074,-0.13291817610562595
217,8,-5.0,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
218,8,-4.666666666666667,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
219,8,-4.333333333333333,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
220,8,-4.0,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
221,8,-3.666666666666667,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
222,8,-3.3333333333333335,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
223,8,-3.0,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
224,8,-2.666666666666667,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
225,8,-2.3333333333333335,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
226,8,-2.0,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
227,8,-1.666666666666667,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
228,8,-1.3333333333333335,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
229,8,-1.0,0.26052172077313906,385.97333494423094,0.046516502636305745,0.9495330766635434,0.36945870422080584
230,8,-0.666666666666667,0.2605214666816143,385.9011374961564,0.04318124162709122,1.1430940483250074,0.36945812419547697
231,8,-0.3333333333333339,0.14079112128468876,190.67717284634568,0.11582150739373051,3.125337987064606,0.16347315383028282
232,8,0.0,0.12726355303362755,152.63823955539732,0.25333835103678987,7.653879279788923,0.024201195823777832
233,8,0.33333333333333304,0.5017489774918498,480.5297955735975,0.47320859522405145,14.735806792620044,-0.27419600040088143
234,8,0.6666666666666661,0.3193648304776191,247.61084550243783,0.28580503948013847,8.198209507429283,0.37755838563308197
235,8,1.0,1.0,718.718020287015,0.9999861288309188,41.326544412183836,0.9999999999999998
236,8,1.333333333333333,0.4343278277740906,323.9175618171505,0.21384260733279228,6.953437497008284,0.4428521881260627
237,8,1.666666666666666,0.1779418760114891,143.84672320338464,0.1227565092268244,3.668327032312,0.14603789933976097
238,8,2.0,0.2735841395725592,236.59879173856325,0.20016866475744544,5.487196673053064,-0.12369098601877673
239,8,2.333333333333333,0.35136594069202604,320.47192141132734,0.2525022460211211,6.979710117628966,-0.250084275187219
240,8,2.666666666666666,0.3873908572855468,363.39240292540023,0.26612014968869924,7.101095190873456,-0.288726728085408
241,8,3.0,0.40528847502123255,384.5177312231289,0.24428772973813273,7.193556888610503,-0.29216682997314547
