,n_image,lambda_full,dcor_full,dcov_full,mic_full,tic_full,pearson_full,lambda_hist,dcor_hist,dcov_hist,mic_hist,tic_hist,pearson_hist,lambda_grid,dcor_grid,dcov_grid,mic_grid,tic_grid,pearson_grid
0,1,0.880472453593592,0.9998996290039435,0.1089566491740942,0.9999999932711469,13346.407180124783,0.9995645806117532,0.2514728604004783,0.9812002942862663,0.07888462768517494,0.9999999932711469,13346.40448588621,0.9513811930011775,1.5339344793221306,0.9976445433612495,0.10777646437827548,0.9999999932711469,13346.408259913793,0.9933110204884718
1,2,0.6263939521821581,1.0782464334012305,0.03416420749574808,0.9999999995231513,13350.628960360144,0.984811440235748,-0.02592737997085924,0.0,0.0,0.9999999995231513,13350.62639060453,0.5459367137530838,-1.6162152401132412,0.16050172551112274,0.0017884017168994812,0.7624940060952715,6130.263772225585,0.17057996228215824
2,3,0.579545349603547,1.00157032479909,0.09114205383638617,0.9999999873849528,13347.72276635599,0.9911270430781774,0.2560541126047887,0.9981361070804226,0.07274242922432181,0.9999999873849528,13347.72059032101,0.9460931985122891,2.160516783170679,0.9854817936432028,0.08587281063740415,0.9999999873849528,13347.748374971425,0.9606152811411959
3,4,0.5832538977790949,0.9988064984852535,0.09114223727082166,0.9999999999999994,13345.712463937385,0.9915759661032819,0.20089053590901268,1.0058826781210144,0.06917158913281825,0.9999999845675271,13345.668397426323,0.9240215080962242,0.46526871235973116,0.998487733626704,0.08653366531704228,0.9999999845675271,13345.696299714951,0.9834952892600748
4,5,0.42807348399621487,0.9904482846026491,0.10518762366745808,0.9999999999999976,13345.72216936075,0.9698084137971047,0.05573447353662126,0.9698876018530492,0.0692620488583557,0.9999999999253539,13345.689190565681,0.8449450025265139,0.5704376668725388,0.9940441246265634,0.11103248332722676,0.9999999999253539,13345.730296798056,0.9843979155229814
5,6,0.4688288489283735,0.9985148307014593,0.13522092060800486,0.9999999999823387,13345.932169985144,0.9874108035022566,0.39281507799847704,0.9974686296446778,0.12721828458739792,0.9999999999823391,13345.96130559583,0.9807526560895367,1.504092492257098,0.9972144432194582,0.17820371104495944,0.9999999999823387,13345.95863663489,0.9947149637486776
6,7,1.1456138758324859,0.9972401451640841,0.09556787186703712,0.9999997312770903,13347.946714069049,0.9993317627929087,0.2152289973170299,0.982781714047718,0.0669738470873435,0.9999997312770903,13347.934390925337,0.9358895189245161,2.2698516620187865,0.984068427537632,0.08123586985193723,0.9999997312770903,13347.930734760355,0.9596330767576046
7,8,0.46325655923145725,0.992898846877351,0.1414874472881408,0.9999999998320471,13345.580210947193,0.9837749772107988,0.41669131413150184,0.992422682804017,0.13680030225899187,0.9999999998320471,13345.580267279167,0.9796268340591712,1.2474626909007396,0.9990758796954163,0.17780512406017127,0.9999999998320471,13345.591103134953,0.9979768019976274
8,9,1.259441679010079,0.998335802993093,0.091023178400547,0.9999999999813382,13347.454210220694,0.9977435991344417,0.23292964511130848,1.0145743551355217,0.061476453469916044,0.9999999999813382,13347.430612783166,0.9282909927904286,1.485543708027684,0.9988825743013905,0.09132574425162168,0.9999999999813382,13347.444518333494,0.9927131264860569
9,10,0.8599042218398391,1.0007676276443733,0.08760856929952625,0.9999999993281916,13346.04559749163,0.9989221028973678,0.2517761731001247,0.9812864706506527,0.06121855276157425,0.9999999993281916,13346.042286883898,0.930676145286311,21.738899041813543,0.36006101208050034,0.01349579018926254,0.9969456273083507,10744.516281263855,0.36606141041958207
